2010-03-02 11:40:52: 失败
2010-03-02 11:40:56: 失败
2010-03-02 16:40:16: fail to execute sql!Unknown column '房地产、药品、零售、钢铁' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (76,73,1.41,房地产、药品、零售、钢铁,1) ON DUPLICATE KEY update fh_id=76 and pm=73 and sr=1.41 and industry=房地产、药品、零售、钢铁 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '汽车配件' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (77,74,1.38,汽车配件,1) ON DUPLICATE KEY update fh_id=77 and pm=74 and sr=1.38 and industry=汽车配件 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '化工膜技术' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (78,75,1.37,化工膜技术,1) ON DUPLICATE KEY update fh_id=78 and pm=75 and sr=1.37 and industry=化工膜技术 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '建筑机械、电信设备' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (79,76,1.33,建筑机械、电信设备,1) ON DUPLICATE KEY update fh_id=79 and pm=76 and sr=1.33 and industry=建筑机械、电信设备 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '铝、煤、能源' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (80,77,1.32,铝、煤、能源,1) ON DUPLICATE KEY update fh_id=80 and pm=77 and sr=1.32 and industry=铝、煤、能源 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '机械及汽车配件、机床、汽车' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (81,77,1.32,机械及汽车配件、机床、汽车,1) ON DUPLICATE KEY update fh_id=81 and pm=77 and sr=1.32 and industry=机械及汽车配件、机床、汽车 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '房地产' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (82,79,1.27,房地产,1) ON DUPLICATE KEY update fh_id=82 and pm=79 and sr=1.27 and industry=房地产 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '卫生纸、纸品' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (83,80,1.26,卫生纸、纸品,1) ON DUPLICATE KEY update fh_id=83 and pm=80 and sr=1.26 and industry=卫生纸、纸品 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '屠宰及肉食品' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (84,81,1.25,屠宰及肉食品,1) ON DUPLICATE KEY update fh_id=84 and pm=81 and sr=1.25 and industry=屠宰及肉食品 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '谷类产品' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (85,82,1.22,谷类产品,1) ON DUPLICATE KEY update fh_id=85 and pm=82 and sr=1.22 and industry=谷类产品 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '零售' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (86,83,1.2,零售,1) ON DUPLICATE KEY update fh_id=86 and pm=83 and sr=1.2 and industry=零售 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '高科技投资、智能卡芯片及纺织' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (87,83,1.2,高科技投资、智能卡芯片及纺织,1) ON DUPLICATE KEY update fh_id=87 and pm=83 and sr=1.2 and industry=高科技投资、智能卡芯片及纺织 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '专用设备、塑料管、房地产' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (88,83,1.2,专用设备、塑料管、房地产,1) ON DUPLICATE KEY update fh_id=88 and pm=83 and sr=1.2 and industry=专用设备、塑料管、房地产 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '信息技术系统、果汁及房地产' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (89,83,1.2,信息技术系统、果汁及房地产,1) ON DUPLICATE KEY update fh_id=89 and pm=83 and sr=1.2 and industry=信息技术系统、果汁及房地产 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '药品' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (90,83,1.2,药品,1) ON DUPLICATE KEY update fh_id=90 and pm=83 and sr=1.2 and industry=药品 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '汽车配件、制模机械' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (91,83,1.2,汽车配件、制模机械,1) ON DUPLICATE KEY update fh_id=91 and pm=83 and sr=1.2 and industry=汽车配件、制模机械 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '蓄电池' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (92,89,1.19,蓄电池,1) ON DUPLICATE KEY update fh_id=92 and pm=89 and sr=1.19 and industry=蓄电池 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '卫生用品、纸制品' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (93,90,1.16,卫生用品、纸制品,1) ON DUPLICATE KEY update fh_id=93 and pm=90 and sr=1.16 and industry=卫生用品、纸制品 and bd_id=1
